Timestamp,Please select your Year Group,Please choose your Nationality,Please select your gender,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
17/03/2025 08:14:20,Year 8,Korean,Female,3,3,3,3,2,2,3,2,3,3,2,3,3,2,3,3,3,2,2,3,3,3,3,3,3,2,2,3,2,3,2,2,3,4,3,3,3,3,3,3,2,1,3,3,2,3,2,2,2,3,2,3,3,3,4,3
17/03/2025 08:17:17,Year 8,Korean,Female,3,3,4,3,3,3,4,4,3,3,3,3,3,2,3,3,3,4,4,4,3,3,2,3,3,3,3,4,4,3,3,4,3,3,3,4,3,4,3,4,4,1,3,3,3,3,4,3,3,4,2,3,2,3,4,4
17/03/2025 08:18:23,Year 8,Korean,Female,3,3,3,1,3,4,3,3,3,4,3,2,3,3,3,3,3,3,3,3,2,2,3,3,2,3,2,3,2,2,2,2,2,1,3,1,3,3,3,3,2,3,2,2,2,3,3,2,3,1,3,4,1,1,4,4
17/03/2025 08:19:10,Year 8,Korean,Male,3,3,2,3,2,3,2,2,2,3,3,4,2,3,4,4,3,2,3,4,1,3,3,2,3,3,3,3,3,2,2,3,2,4,3,4,4,3,3,4,1,1,3,2,2,2,4,2,2,4,2,4,4,2,4,4
17/03/2025 08:20:02,Year 7,Korean,Male,4,3,2,3,4,4,3,4,4,3,3,3,4,1,3,3,4,4,3,4,3,3,3,4,3,4,3,3,3,3,3,3,3,4,4,3,4,4,3,3,3,3,3,3,4,3,3,2,1,4,3,4,4,4,4,4
17/03/2025 08:20:20,Year 8,Korean,Female,3,3,3,3,4,3,3,3,3,4,3,3,4,1,4,4,3,4,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,4,2,2,4,3
17/03/2025 08:20:29,Year 8,Vietnamese,Male,2,3,3,3,3,3,3,3,3,2,3,2,3,1,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,3,3,3,3,2,2,2,3,3,3,3,2
17/03/2025 08:21:04,Year 8,Korean,Female,3,2,2,2,3,3,3,3,3,3,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,1,3,4,4
17/03/2025 08:21:29,Year 8,Vietnamese,Male,3,3,3,2,3,4,3,3,3,4,3,2,3,2,4,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,2,3,4,3,3,3,3,3,4,4,2,3,4,3,3,3,3,3,3,2,3,3,1,3,4
17/03/2025 08:21:48,Year 7,Korean,Female,3,3,3,2,2,3,2,2,2,1,3,2,4,2,2,3,3,3,3,3,3,2,1,3,2,1,1,2,1,2,2,1,3,2,2,2,3,3,2,2,2,1,2,2,3,1,2,1,1,2,1,2,1,1,3,2
